Code,Sigle,Nom,Adresse principale
UMR5005,Ampère,Laboratoire Ampère,"Bât H.9, 36 avenue Guy de Collongue, 69134 ECULLY"
UMR9001,C2N,Centre de Nanosciences et de Nanotechnologies,"10 Boulevard Thomas Gobert, 91120 PALAISEAU"
UPR8011,CEMES,Centre d'élaboration de matériaux et d'études structurales,"29 rue Jeanne Marvig, BP 94347, 31055 TOULOUSE"
UMR6252,CIMAP,"Centre de recherche sur les ions, les matériaux et la photonique","6 Bd du Maréchal Juin, 14050 CAEN"
UMR7325,CINaM,Centre Interdisciplinaire de Nanoscience de Marseille,"Case 913, Campus de Luminy, 13288 MARSEILLE 09"
UMR5085,CIRIMAT,Centre Interuniversitaire de Recherche et d'Ingénierie des Matériaux,"Bât. CIRIMAT-LCMIE, 118 route de Narbonne, 31062 TOULOUSE"
UMR7073,CRHEA,Centre de recherche sur l'hétéroépitaxie et ses applications,"Bat. 5, Rue Bernard Grégory, 06560 VALBONNE"
UMR6508,CRISMAT,Laboratoire de cristallographie et sciences des matériaux,"6 Bvd du maréchal Juin, 14050 CAEN"
UMR5130,CROMA,"Centre de Radiofréquences, Optique et Micro-nanoélectronique des Alpes","MINATEC - CS50257, 3 parvis Louis Neel, 38016 GRENOBLE"
UMR9007,ESYCOM,"Laboratoire Electronique, Systèmes de Communications et Microsystèmes","Cité Descartes, 5 bd Descartes, 77454 CHAMPS-SUR-MARNE"
UMR5269,G2Elab,Laboratoire de Génie Electrique de Grenoble,"Bât. GreEn-ER - CS90624, 21 rue des Martyrs, 38031 GRENOBLE"
UMR8507,GeePs,Génie électrique et électronique de Paris,"11 rue Joliot Curie, Plateau de Moulon, 91192 GIF-SUR-YVETTE"
UMR8635,GEMaC,Groupe d'études de la matière condensée,"45 avenue des Etats-Unis, 78035 VERSAILLES"
IRL2958,GEORGIATECH,GEORGIATECH-CNRS,"Metz Technopôle, 2 rue Marconi, 57070 METZ"
UMR6634,GPM,Groupe de physique des matériaux,"Technopôle du Madrillet UFR ST, Avenue de l'Université, BP 12, 76801 ST-ETIENNE-DU-ROUVRAY"
UMR7347,GREMAN,"Groupe de Recherche En Matériaux, Microélectronique, Acoustique, Nanotechnologies","Parc de Grandmont, 20 Avenue Monge, 37200 TOURS"
UMR6072,GREYC,"Groupe de recherche en Informatique, Image, Automatique et Instrumentation de Caen","Campus II - Côte de Nacre - Bât. Sciences3, Bd Maréchal Juin, 14032 CAEN"
UMR7177,IC,Institut de Chimie de Strasbourg,"4 rue Blaise Pascal, BP 90032, 67008 STRASBOURG"
UMR7357,ICube,"Laboratoire des sciences de l'Ingénieur, de l'Informatique et de l'Imagerie","Télécom Physique Strasbourg, 300 Bd Sébastien Brant, BP 10413, 67412 ILLKIRCH-GRAFFENSTADEN"
UMR5635,IEM,Institut européen des membranes,"Case Courrier 047, Place Eugène Bataillon, 34095 MONTPELLIER"
UMR8520,IEMN,Institut d'Electronique de Microélectronique et de Nanotechnologie,"Avenue Poincaré, 59652 VILLENEUVE-D'ASCQ"
UMR5214,IES,Institut d'Electronique et des Systèmes,"IES - CC 05001, 860 rue St Priest, 34095 MONTPELLIER"
UMR7198,IJL,Institut Jean Lamour,"Campus ARTEM, 2 allée André Guinier, BP 50840, 54011 NANCY"
UMR8180,ILV,Institut Lavoisier de Versailles,"Bâtiment Lavoisier, 45 avenue des Etats-Unis, 78035 VERSAILLES"
UMR7334,IM2NP,Institut matériaux microélectronique nanosciences de Provence,"Campus Saint-Jérôme, Avenue Normandie-Niemen, BP C, 13397 MARSEILLE 13"
UMR6502,IMN,Institut des matériaux de Nantes Jean Rouxel,"UFR Sciences et Techniques, 2 rue de la Houssinière, BP 32229, 44322 NANTES"
UMR5218,IMS,Laboratoire de l'intégration du matériau au système,"IMS - Bât. A31, 351 cours de la Libération, 33405 TALENCE"
UMR5270,INL,Institut des Nanotechnologies de Lyon,"Bât. F7, 36 avenue Guy de Collongue, 69134 ECULLY"
UMR5026,ICMCB,Institut de Chimie de la Matière Condensée de Bordeaux,"87 Av du Dr A. Schweitzer, 33608 PESSAC"
UMR7010,INPHYNI,Institut de physique de Nice,"1361 Route des Lucioles, 06560 VALBONNE (site principal)"
UMR7588,INSP,Institut des NanoSciences de Paris,"Boîte courrier 840, 4 place Jussieu, 75252 PARIS 05"
UMR6602,IP,Institut Pascal,"4 Avenue Blaise Pascal, 63178 AUBIÈRE"
UMR5256,IRCELYON,Institut de Recherches sur la Catalyse et l'Environnement de Lyon,"Bât. Prettre, 2 avenue Albert Einstein, 69626 VILLEURBANNE"
UMR8247,IRCP,Institut de Recherche de Chimie Paris,"11 rue Pierre et Marie Curie, 75231 PARIS Cedex 05"
UMR7361,IS2M,Institut de Sciences des Matériaux de Mulhouse,"15 rue Jean Starcky, BP 2488, 68057 MULHOUSE"
UMR6226,ISCR,Institut des Sciences Chimiques de Rennes,"Campus Beaulieu, Bât 10B, CS 74205, 263 avenue du Général Leclerc, 35042 RENNES"
UMR5221,L2C,Laboratoire Charles Coulomb,"Bât. 13, place Eugène Bataillon, CC069, 34095 MONTPELLIER"
